api,nranks,xfersize[MiB],blocksize[MiB],totalsize[MiB],operation,min[MiB/sec],max[MiB/sec],mean[MiB/sec],std[MiB/sec]
POSIX,4,128.0,1024.0,4096.0,write,7494.26,11416.01,9480.88,11.78
POSIX,4,128.0,1024.0,4096.0,read,10959.95,14342.85,13022.12,9.29
POSIX,16,64.0,128.0,2048.0,write,5401.01,22182.78,15364.62,85.04
POSIX,16,64.0,128.0,2048.0,read,19764.85,30887.7,23047.25,52.78
POSIX,4,16.0,32.0,128.0,write,1416.53,2931.12,2201.0,26.79
POSIX,4,16.0,32.0,128.0,read,1704.12,7920.0,5042.21,133.31
Z5,1,8.0,32.0,32.0,write,105.14,586.81,532.94,17.83
Z5,1,8.0,32.0,32.0,read,71.71,92.9,90.63,0.79
POSIX,8,32.0,256.0,2048.0,write,8106.88,16008.03,13151.63,67.43
POSIX,8,32.0,256.0,2048.0,read,15624.94,24283.01,19851.03,83.15
POSIX,32,128.0,1024.0,32768.0,write,47912.33,75211.8,67646.21,69.49
POSIX,32,128.0,1024.0,32768.0,read,82776.45,97441.22,90933.01,28.28
HDF5,1,256.0,2048.0,2048.0,write,1688.58,2166.9,2074.15,0.67
HDF5,1,256.0,2048.0,2048.0,read,73.4,73.89,73.83,0.0
NCMPI,4,16.0,64.0,256.0,write,468.94,2443.65,1200.54,34.32
NCMPI,4,16.0,64.0,256.0,read,2331.53,15304.71,6873.89,257.72
Z5,16,8.0,64.0,1024.0,write,2886.34,5979.28,5118.8,120.93
Z5,16,8.0,64.0,1024.0,read,996.3,1266.03,1142.67,11.18
MPIIO,1,16.0,128.0,128.0,write,3303.23,3392.61,3360.07,2.29
MPIIO,1,16.0,128.0,128.0,read,942.22,3719.82,2640.29,48.38
HDF5,16,128.0,256.0,4096.0,write,1136.07,11081.14,8750.87,23.07
HDF5,16,128.0,256.0,4096.0,read,11164.01,14673.94,13116.07,9.52
MPIIO,2,16.0,64.0,128.0,write,5560.17,5862.07,5756.55,6.29
MPIIO,2,16.0,64.0,128.0,read,958.18,2232.77,1877.47,22.32
HDF5,32,64.0,256.0,8192.0,write,1129.11,13787.1,11067.35,62.88
HDF5,32,64.0,256.0,8192.0,read,14086.42,24838.99,21444.25,53.65
Z5,4,32.0,32.0,128.0,write,1149.67,1754.31,1635.96,5.32
Z5,4,32.0,32.0,128.0,read,283.37,344.66,320.02,0.48
Z5,16,8.0,32.0,512.0,write,709.77,5695.6,4078.24,214.66
Z5,16,8.0,32.0,512.0,read,982.87,1220.53,1128.93,9.87
NCMPI,16,32.0,256.0,4096.0,write,2582.43,11896.99,6048.37,76.97
NCMPI,16,32.0,256.0,4096.0,read,12758.62,34413.41,23064.18,186.61
MPIIO,4,64.0,128.0,512.0,write,10525.01,11316.75,10812.39,3.92
MPIIO,4,64.0,128.0,512.0,read,2362.36,5739.14,4694.36,18.91
HDF5,2,32.0,32.0,64.0,write,437.21,1096.53,841.97,6.57
HDF5,2,32.0,32.0,64.0,read,694.8,1902.47,1462.79,11.08
HDF5,8,256.0,512.0,4096.0,write,1398.46,7797.59,6432.66,6.69
HDF5,8,256.0,512.0,4096.0,read,6597.27,8703.29,7912.22,2.52
Z5,64,16.0,32.0,2048.0,write,5613.52,22739.77,16031.11,422.24
Z5,64,16.0,32.0,2048.0,read,2968.32,4559.32,3897.1,29.36
NCMPI,2,64.0,128.0,256.0,write,1528.8,2336.68,2009.54,3.95
NCMPI,2,64.0,128.0,256.0,read,980.81,5903.55,4153.5,21.58
Z5,64,128.0,512.0,32768.0,write,25715.33,29120.11,27074.58,8.17
Z5,64,128.0,512.0,32768.0,read,4930.85,5356.7,5226.6,1.03
Z5,64,8.0,8.0,512.0,write,578.39,14109.17,9924.91,662.79
Z5,64,8.0,8.0,512.0,read,1171.83,3817.49,2352.25,100.53
POSIX,2,8.0,64.0,128.0,write,658.76,2904.98,2002.47,93.01
POSIX,2,8.0,64.0,128.0,read,4424.57,7209.95,5977.41,130.55
POSIX,1,64.0,512.0,512.0,write,1755.02,2699.91,2327.06,5.01
POSIX,1,64.0,512.0,512.0,read,3760.57,3770.2,3766.68,0.05
Z5,4,256.0,2048.0,8192.0,write,2092.66,2239.99,2204.07,0.2
Z5,4,256.0,2048.0,8192.0,read,346.12,356.8,352.32,0.01
HDF5,64,64.0,512.0,32768.0,write,1135.66,16068.98,13761.51,68.08
HDF5,64,64.0,512.0,32768.0,read,28607.75,40205.14,36445.87,47.15
POSIX,16,256.0,256.0,4096.0,write,1528.34,29055.4,10683.61,38.37
POSIX,16,256.0,256.0,4096.0,read,24187.91,32107.31,28885.5,7.57
POSIX,2,64.0,256.0,512.0,write,2186.3,5249.66,4120.03,13.66
POSIX,2,64.0,256.0,512.0,read,4224.09,6842.92,6128.02,12.39
Z5,1,8.0,64.0,64.0,write,169.04,587.74,538.59,15.54
Z5,1,8.0,64.0,64.0,read,92.54,92.89,92.77,0.01
POSIX,64,128.0,128.0,8192.0,write,15709.72,47266.72,34877.08,85.67
POSIX,64,128.0,128.0,8192.0,read,47029.96,66097.12,56922.21,47.46
POSIX,64,8.0,16.0,1024.0,write,6255.8,10390.49,8499.08,174.12
POSIX,64,8.0,16.0,1024.0,read,9647.09,15173.41,12410.12,191.5
Z5,16,256.0,1024.0,16384.0,write,167.11,8680.11,2022.32,11.2
Z5,16,256.0,1024.0,16384.0,read,997.89,1405.13,1340.0,0.46
HDF5,2,256.0,1024.0,2048.0,write,1218.71,3179.88,2887.85,2.23
HDF5,2,256.0,1024.0,2048.0,read,2531.36,2761.55,2697.96,0.28
NCMPI,64,8.0,8.0,512.0,write,150.49,404.91,267.59,10.39
NCMPI,64,8.0,8.0,512.0,read,377.91,1074.16,655.94,26.17
Z5,2,64.0,128.0,256.0,write,867.17,1063.99,1034.79,0.88
Z5,2,64.0,128.0,256.0,read,172.19,179.49,176.8,0.03
HDF5,4,64.0,128.0,512.0,write,1233.6,3981.4,3031.93,13.81
HDF5,4,64.0,128.0,512.0,read,2881.75,4690.01,4171.1,8.9
HDF5,32,128.0,512.0,16384.0,write,1103.87,16392.25,14025.05,34.21
HDF5,32,128.0,512.0,16384.0,read,20204.86,29780.94,27379.2,20.06
MPIIO,2,32.0,32.0,64.0,write,4064.87,4645.19,4308.17,4.64
MPIIO,2,32.0,32.0,64.0,read,963.75,1733.49,1292.09,6.73
MPIIO,4,256.0,1024.0,4096.0,write,12377.53,12709.38,12616.89,0.38
MPIIO,4,256.0,1024.0,4096.0,read,4472.85,5839.8,5674.86,1.57
NCMPI,16,8.0,32.0,512.0,write,411.39,2661.43,1276.29,88.55
NCMPI,16,8.0,32.0,512.0,read,2261.34,24477.77,10450.49,852.37
NCMPI,4,32.0,32.0,128.0,write,525.4,2246.05,1001.55,14.23
NCMPI,4,32.0,32.0,128.0,read,660.84,5447.47,2857.62,39.68
HDF5,64,256.0,512.0,32768.0,write,1148.38,16468.84,14146.69,17.16
HDF5,64,256.0,512.0,32768.0,read,26909.8,46066.67,37352.43,22.16
NCMPI,4,256.0,2048.0,8192.0,write,7529.21,10978.69,9378.66,4.59
NCMPI,4,256.0,2048.0,8192.0,read,10697.08,12789.34,11681.71,2.37
HDF5,1,16.0,128.0,128.0,write,2136.02,2286.99,2202.63,2.71
HDF5,1,16.0,128.0,128.0,read,602.12,1240.15,1172.73,11.9
HDF5,2,16.0,64.0,128.0,write,660.78,2159.52,1870.17,28.23
HDF5,2,16.0,64.0,128.0,read,929.86,2195.75,1962.91,24.27
NCMPI,16,8.0,64.0,1024.0,write,658.92,3207.39,1291.49,91.54
NCMPI,16,8.0,64.0,1024.0,read,7635.34,21141.26,16368.23,538.88
MPIIO,64,64.0,128.0,8192.0,write,96980.49,130505.0,110770.37,143.71
MPIIO,64,64.0,128.0,8192.0,read,18445.32,58549.83,44155.82,218.79
Z5,4,16.0,64.0,256.0,write,1527.42,1816.75,1744.61,5.7
Z5,4,16.0,64.0,256.0,read,315.76,350.53,334.17,0.69
MPIIO,2,8.0,16.0,32.0,write,2377.84,3198.12,2884.83,36.49
MPIIO,2,8.0,16.0,32.0,read,728.69,1129.31,917.89,15.44
NCMPI,64,16.0,32.0,2048.0,write,586.94,909.25,756.26,5.29
NCMPI,64,16.0,32.0,2048.0,read,2843.19,24820.83,6195.55,394.03
Z5,16,32.0,256.0,4096.0,write,6151.95,7546.8,7160.04,11.09
Z5,16,32.0,256.0,4096.0,read,1076.86,1283.97,1222.09,1.97
POSIX,4,64.0,128.0,512.0,write,2590.73,8636.45,5766.25,23.98
POSIX,4,64.0,128.0,512.0,read,5310.56,10434.06,8214.51,28.92
POSIX,16,16.0,32.0,512.0,write,1041.4,8060.52,5377.53,132.46
POSIX,16,16.0,32.0,512.0,read,5681.08,16489.77,10587.78,218.5
POSIX,32,16.0,16.0,512.0,write,1160.89,6905.48,4871.25,116.73
POSIX,32,16.0,16.0,512.0,read,3571.18,25334.71,6988.97,387.48
MPIIO,8,8.0,16.0,128.0,write,8688.21,9980.98,9245.66,49.17
MPIIO,8,8.0,16.0,128.0,read,3116.21,5674.7,4228.03,107.45
POSIX,4,8.0,16.0,64.0,write,968.18,2013.63,1514.53,37.38
POSIX,4,8.0,16.0,64.0,read,465.29,5399.2,3716.16,222.03
HDF5,64,8.0,16.0,1024.0,write,833.58,2330.74,2082.51,52.97
HDF5,64,8.0,16.0,1024.0,read,9319.55,12719.88,11143.57,147.08
MPIIO,1,64.0,512.0,512.0,write,2254.31,3163.52,3058.33,4.19
MPIIO,1,64.0,512.0,512.0,read,3699.17,3759.64,3749.81,0.27
POSIX,64,256.0,512.0,32768.0,write,45159.73,91850.94,77973.49,58.43
POSIX,64,256.0,512.0,32768.0,read,92161.84,103170.74,98865.32,12.77
Z5,4,256.0,1024.0,4096.0,write,1975.19,2224.04,2116.36,0.33
Z5,4,256.0,1024.0,4096.0,read,337.24,356.7,348.02,0.03
NCMPI,4,64.0,256.0,1024.0,write,1968.38,6697.61,4574.8,26.16
NCMPI,4,64.0,256.0,1024.0,read,3787.44,10837.99,7029.6,34.82
Z5,64,128.0,1024.0,65536.0,write,27000.88,29222.99,28440.78,4.73
Z5,64,128.0,1024.0,65536.0,read,4872.84,5280.17,5129.27,0.87
MPIIO,2,64.0,256.0,512.0,write,6687.51,7163.97,6985.46,2.01
MPIIO,2,64.0,256.0,512.0,read,2663.38,2971.9,2932.34,1.41
MPIIO,4,16.0,32.0,128.0,write,6482.89,8121.8,7364.62,31.24
MPIIO,4,16.0,32.0,128.0,read,2028.49,3539.03,2605.18,23.96
HDF5,1,256.0,1024.0,1024.0,write,1318.8,2164.56,1996.06,1.1
HDF5,1,256.0,1024.0,1024.0,read,72.93,73.9,73.8,0.0
HDF5,32,16.0,64.0,2048.0,write,997.14,5623.48,4794.45,80.23
HDF5,32,16.0,64.0,2048.0,read,5258.01,10532.28,8044.98,112.59
POSIX,32,128.0,512.0,16384.0,write,25044.77,59241.51,53330.95,74.83
POSIX,32,128.0,512.0,16384.0,read,73736.1,92221.16,79421.16,39.02
NCMPI,2,16.0,32.0,64.0,write,379.92,1715.15,864.94,22.05
NCMPI,2,16.0,32.0,64.0,read,1000.64,3776.33,1756.45,47.53
MPIIO,8,32.0,256.0,2048.0,write,17636.31,22923.35,22180.32,47.79
MPIIO,8,32.0,256.0,2048.0,read,4756.55,11134.19,9761.22,60.41
Z5,64,64.0,128.0,8192.0,write,13454.2,18826.86,16272.72,24.59
Z5,64,64.0,128.0,8192.0,read,4999.42,5338.06,5236.95,1.58
POSIX,4,128.0,512.0,2048.0,write,4535.3,9803.02,7482.88,14.68
POSIX,4,128.0,512.0,2048.0,read,11121.44,13195.2,12434.73,5.51
POSIX,1,16.0,128.0,128.0,write,861.22,1759.83,1457.05,19.57
POSIX,1,16.0,128.0,128.0,read,5254.43,5320.68,5293.95,1.09
HDF5,64,128.0,128.0,8192.0,write,1033.64,10541.89,8053.6,24.16
HDF5,64,128.0,128.0,8192.0,read,17368.56,26182.04,23234.82,20.84
POSIX,2,16.0,64.0,128.0,write,1472.75,3374.86,2534.45,40.39
POSIX,2,16.0,64.0,128.0,read,6605.17,7769.33,7171.1,26.67
HDF5,64,16.0,128.0,8192.0,write,1160.32,8930.98,7138.98,133.06
HDF5,64,16.0,128.0,8192.0,read,7187.68,14124.37,10659.77,127.03
MPIIO,16,32.0,256.0,4096.0,write,41835.65,46042.76,43807.32,45.05
MPIIO,16,32.0,256.0,4096.0,read,14384.14,22216.92,19217.57,68.88
POSIX,32,32.0,128.0,4096.0,write,13288.97,28957.91,22961.93,143.9
POSIX,32,32.0,128.0,4096.0,read,23042.16,56710.62,35236.06,289.75
HDF5,16,256.0,256.0,4096.0,write,1130.28,11810.55,9075.31,12.88
HDF5,16,256.0,256.0,4096.0,read,11236.47,14424.47,12595.1,3.73
POSIX,8,8.0,64.0,512.0,write,811.86,7940.67,5446.76,254.11
POSIX,8,8.0,64.0,512.0,read,6357.43,17094.54,12546.54,473.38
MPIIO,4,8.0,64.0,256.0,write,9224.43,10491.97,9717.52,40.6
MPIIO,4,8.0,64.0,256.0,read,711.99,5694.2,4010.46,164.73
NCMPI,4,256.0,1024.0,4096.0,write,4622.31,8910.72,7179.31,5.28
NCMPI,4,256.0,1024.0,4096.0,read,7273.0,10663.07,8869.31,3.89
POSIX,64,32.0,256.0,16384.0,write,26727.92,67086.41,48756.94,441.85
POSIX,64,32.0,256.0,16384.0,read,36101.26,68447.2,46759.78,272.26
HDF5,4,16.0,32.0,128.0,write,623.19,2059.85,1501.19,26.0
HDF5,4,16.0,32.0,128.0,read,1765.42,3347.92,2912.62,36.75
Z5,32,128.0,128.0,4096.0,write,7622.92,10067.57,9065.69,4.99
Z5,32,128.0,128.0,4096.0,read,2565.46,2854.61,2788.41,0.65
Z5,2,16.0,32.0,64.0,write,404.22,861.0,790.18,8.16
Z5,2,16.0,32.0,64.0,read,147.12,176.26,170.66,0.54
HDF5,8,32.0,256.0,2048.0,write,1404.08,6604.41,5498.69,44.92
HDF5,8,32.0,256.0,2048.0,read,5891.58,8446.47,7274.91,22.32
HDF5,1,8.0,16.0,16.0,write,1665.96,1984.79,1793.35,14.12
HDF5,1,8.0,16.0,16.0,read,63.28,840.2,402.67,32.7
Z5,16,256.0,2048.0,32768.0,write,312.44,8778.66,5774.2,13.3
Z5,16,256.0,2048.0,32768.0,read,1327.48,1416.32,1387.89,0.11
MPIIO,64,8.0,16.0,1024.0,write,6700.97,51249.01,40509.34,1518.97
MPIIO,64,8.0,16.0,1024.0,read,28920.2,82111.23,43459.36,1801.16
HDF5,1,64.0,512.0,512.0,write,2082.52,2144.23,2124.87,0.27
HDF5,1,64.0,512.0,512.0,read,284.82,292.66,291.82,0.04
HDF5,2,256.0,2048.0,4096.0,write,1215.69,3222.82,2959.71,2.28
HDF5,2,256.0,2048.0,4096.0,read,2542.43,2751.28,2702.12,0.23
HDF5,32,32.0,32.0,1024.0,write,719.3,4074.01,3061.07,30.11
HDF5,32,32.0,32.0,1024.0,read,8351.48,14947.87,13448.22,60.58
Z5,4,64.0,256.0,1024.0,write,1899.23,2109.38,2080.24,0.95
Z5,4,64.0,256.0,1024.0,read,281.85,352.34,338.75,0.32
POSIX,16,128.0,256.0,4096.0,write,7713.35,30902.66,21159.01,67.26
POSIX,16,128.0,256.0,4096.0,read,31300.83,37888.85,34668.43,16.68
MPIIO,64,16.0,32.0,2048.0,write,10568.51,71752.82,61755.66,1083.69
MPIIO,64,16.0,32.0,2048.0,read,5193.37,28787.58,17479.59,520.3
HDF5,16,32.0,64.0,1024.0,write,840.29,5550.55,4108.0,42.03
HDF5,16,32.0,64.0,1024.0,read,3964.91,10449.46,6662.43,66.68
HDF5,2,64.0,256.0,512.0,write,1088.54,2631.56,2179.17,8.15
HDF5,2,64.0,256.0,512.0,read,1537.84,2540.23,2307.78,4.51
NCMPI,64,64.0,128.0,8192.0,write,2404.73,6248.39,4134.93,18.58
NCMPI,64,64.0,128.0,8192.0,read,12011.77,28992.22,18687.09,78.67
POSIX,2,32.0,32.0,64.0,write,890.1,1969.57,1432.27,10.5
POSIX,2,32.0,32.0,64.0,read,2553.62,4436.11,3968.34,17.44
HDF5,8,128.0,128.0,1024.0,write,1044.89,5756.17,4561.61,10.64
HDF5,8,128.0,128.0,1024.0,read,3723.47,7099.65,5617.68,8.02
POSIX,8,8.0,32.0,256.0,write,1018.64,5483.36,3615.96,160.28
POSIX,8,8.0,32.0,256.0,read,4310.46,12471.28,9640.07,339.1
MPIIO,4,8.0,32.0,128.0,write,6718.87,8121.68,7597.89,52.54
MPIIO,4,8.0,32.0,128.0,read,1142.44,3400.98,2619.46,93.61
HDF5,32,128.0,1024.0,32768.0,write,1090.52,18006.43,15267.55,37.13
HDF5,32,128.0,1024.0,32768.0,read,25337.78,33150.26,31669.2,16.74
MPIIO,4,256.0,2048.0,8192.0,write,10684.13,12827.89,12565.3,2.45
MPIIO,4,256.0,2048.0,8192.0,read,5743.22,5830.23,5813.44,0.1
Z5,8,64.0,128.0,1024.0,write,2973.5,4042.07,3630.52,5.62
Z5,8,64.0,128.0,1024.0,read,641.9,710.36,683.57,0.33
HDF5,16,128.0,512.0,8192.0,write,1081.47,13528.27,10714.03,28.03
HDF5,16,128.0,512.0,8192.0,read,10715.09,17129.67,15521.4,13.38
NCMPI,4,128.0,128.0,512.0,write,1304.78,2974.15,2240.09,4.65
NCMPI,4,128.0,128.0,512.0,read,3229.72,7860.97,5379.58,13.95
NCMPI,2,8.0,64.0,128.0,write,783.39,2600.91,1407.87,61.21
NCMPI,2,8.0,64.0,128.0,read,1732.2,6929.12,4670.58,236.87
MPIIO,8,32.0,32.0,256.0,write,13115.48,14709.27,14121.2,13.82
MPIIO,8,32.0,32.0,256.0,read,1740.95,4159.93,3402.82,19.79
Z5,16,64.0,256.0,4096.0,write,219.02,7539.96,3630.52,48.88
Z5,16,64.0,256.0,4096.0,read,1292.06,1386.58,1348.92,0.45
POSIX,1,16.0,16.0,16.0,write,64.92,719.34,426.82,10.44
POSIX,1,16.0,16.0,16.0,read,9056.91,9813.46,9284.85,15.26
Z5,32,256.0,1024.0,32768.0,write,14425.19,16685.95,16097.33,2.33
Z5,32,256.0,1024.0,32768.0,read,2682.17,2798.28,2736.74,0.17
MPIIO,32,32.0,64.0,2048.0,write,47176.48,63021.79,53688.82,188.09
MPIIO,32,32.0,64.0,2048.0,read,7192.54,29040.86,19278.28,227.17
MPIIO,32,8.0,16.0,512.0,write,16761.99,22280.89,20888.55,219.23
MPIIO,32,8.0,16.0,512.0,read,5062.58,9777.73,6231.78,170.02
HDF5,64,16.0,16.0,1024.0,write,759.65,1846.81,1266.32,20.24
HDF5,64,16.0,16.0,1024.0,read,6080.99,12102.75,8875.09,124.97
MPIIO,16,32.0,32.0,512.0,write,2793.78,30210.01,24262.32,237.43
MPIIO,16,32.0,32.0,512.0,read,5089.32,12772.0,7244.21,66.76
Z5,64,128.0,256.0,16384.0,write,18580.76,24177.07,21713.05,10.95
Z5,64,128.0,256.0,16384.0,read,4932.67,5427.0,5122.58,0.95
HDF5,8,8.0,8.0,64.0,write,212.52,858.39,553.21,24.63
HDF5,8,8.0,8.0,64.0,read,603.84,3833.99,3137.88,114.08
POSIX,32,16.0,128.0,4096.0,write,9557.18,26525.46,19193.24,352.79
POSIX,32,16.0,128.0,4096.0,read,17365.82,56494.5,33632.83,611.64
POSIX,64,256.0,2048.0,131072.0,write,81960.3,150104.29,112751.31,74.23
POSIX,64,256.0,2048.0,131072.0,read,124648.44,145711.47,132860.77,22.27
MPIIO,1,64.0,64.0,64.0,write,3058.5,3105.66,3077.01,0.23
MPIIO,1,64.0,64.0,64.0,read,607.85,1681.36,1230.27,4.81
HDF5,8,16.0,64.0,512.0,write,1238.25,3805.65,2494.46,48.43
HDF5,8,16.0,64.0,512.0,read,1351.07,5108.15,3195.59,65.54
Z5,1,32.0,64.0,64.0,write,453.29,574.78,558.34,1.1
Z5,1,32.0,64.0,64.0,read,91.23,91.42,91.32,0.0
NCMPI,2,8.0,32.0,64.0,write,448.07,1284.69,821.52,40.15
NCMPI,2,8.0,32.0,64.0,read,1292.55,5844.47,3478.34,182.76
HDF5,8,256.0,1024.0,8192.0,write,1393.17,8973.96,7630.73,8.24
HDF5,8,256.0,1024.0,8192.0,read,7409.17,9471.17,9019.44,2.2
POSIX,64,16.0,64.0,4096.0,write,9593.71,27026.62,18408.09,409.16
POSIX,64,16.0,64.0,4096.0,read,25025.57,33792.18,29307.89,171.56
HDF5,1,64.0,64.0,64.0,write,422.08,2095.2,1765.22,7.79
HDF5,1,64.0,64.0,64.0,read,243.52,292.71,284.01,0.23
MPIIO,8,16.0,64.0,512.0,write,2186.16,19832.26,17405.27,318.08
MPIIO,8,16.0,64.0,512.0,read,3486.36,8017.86,6683.39,74.82
HDF5,32,128.0,256.0,8192.0,write,1046.98,12743.64,10761.59,25.73
HDF5,32,128.0,256.0,8192.0,read,13170.39,21683.75,18564.57,17.42
MPIIO,4,256.0,512.0,2048.0,write,12124.43,12552.69,12412.26,0.44
MPIIO,4,256.0,512.0,2048.0,read,3536.15,5811.2,5275.48,2.97
NCMPI,1,32.0,64.0,64.0,write,817.32,1414.45,1162.92,6.85
NCMPI,1,32.0,64.0,64.0,read,450.64,1861.79,1254.67,13.82
HDF5,32,32.0,256.0,8192.0,write,1149.26,12081.62,9111.14,94.44
HDF5,32,32.0,256.0,8192.0,read,13981.48,22183.79,18562.93,72.35
NCMPI,16,64.0,256.0,4096.0,write,2542.64,6598.64,4304.78,18.99
NCMPI,16,64.0,256.0,4096.0,read,14004.03,23732.25,19709.35,46.98
POSIX,2,32.0,256.0,512.0,write,1154.05,5494.43,3970.13,43.54
POSIX,2,32.0,256.0,512.0,read,4300.89,7725.04,6521.76,38.18
Z5,4,128.0,128.0,512.0,write,1512.7,2187.38,2071.33,1.48
Z5,4,128.0,128.0,512.0,read,316.44,358.43,350.15,0.11
MPIIO,16,16.0,64.0,1024.0,write,8630.37,37685.79,33313.74,519.41
MPIIO,16,16.0,64.0,1024.0,read,2567.73,13276.42,6674.28,266.51
POSIX,16,128.0,1024.0,16384.0,write,19388.67,42093.94,31334.85,61.8
POSIX,16,128.0,1024.0,16384.0,read,42855.01,47948.74,44601.24,11.16
HDF5,64,32.0,128.0,8192.0,write,1104.66,10152.55,8762.36,81.04
HDF5,64,32.0,128.0,8192.0,read,14850.53,26536.64,23262.66,103.96
Z5,16,256.0,512.0,8192.0,write,6859.67,8387.92,8072.2,1.75
Z5,16,256.0,512.0,8192.0,read,1399.25,1429.52,1416.15,0.04
HDF5,2,256.0,512.0,1024.0,write,1149.85,2960.97,2707.02,2.04
HDF5,2,256.0,512.0,1024.0,read,2215.15,2629.04,2451.94,0.5
POSIX,1,32.0,128.0,128.0,write,895.49,2040.45,1455.85,9.63
POSIX,1,32.0,128.0,128.0,read,3996.65,4045.08,4030.3,0.42
POSIX,8,64.0,256.0,2048.0,write,9683.28,14463.71,11990.33,23.21
POSIX,8,64.0,256.0,2048.0,read,13646.33,23446.18,19088.92,44.9
POSIX,32,256.0,256.0,8192.0,write,15770.58,45979.47,36323.44,37.58
POSIX,32,256.0,256.0,8192.0,read,39207.32,54547.65,50837.81,15.79
HDF5,1,128.0,128.0,128.0,write,2013.59,2165.51,2105.34,0.4
HDF5,1,128.0,128.0,128.0,read,131.86,146.18,143.1,0.04
HDF5,32,8.0,16.0,512.0,write,644.2,2042.99,1752.32,48.59
HDF5,32,8.0,16.0,512.0,read,5948.17,10330.47,8306.14,179.67
POSIX,4,256.0,256.0,1024.0,write,3832.79,8584.98,5685.38,7.44
POSIX,4,256.0,256.0,1024.0,read,6941.0,10487.16,9745.05,3.9
HDF5,64,256.0,1024.0,65536.0,write,28.84,18812.23,15553.88,20.72
HDF5,64,256.0,1024.0,65536.0,read,29495.62,47825.18,40177.04,17.83
POSIX,64,32.0,32.0,2048.0,write,4980.61,16753.43,11090.68,123.9
POSIX,64,32.0,32.0,2048.0,read,10552.61,21257.12,14620.46,94.59
NCMPI,8,64.0,128.0,1024.0,write,1382.79,9275.6,3274.22,33.97
NCMPI,8,64.0,128.0,1024.0,read,3638.19,13556.91,8449.47,49.25
MPIIO,1,8.0,8.0,8.0,write,2469.05,4422.12,2792.34,75.9
MPIIO,1,8.0,8.0,8.0,read,39.19,483.3,236.96,17.36
HDF5,8,32.0,32.0,256.0,write,613.14,2560.28,1853.38,18.41
HDF5,8,32.0,32.0,256.0,read,1841.75,6076.66,4768.53,49.51
NCMPI,64,32.0,128.0,8192.0,write,2966.43,8776.58,5052.45,66.81
NCMPI,64,32.0,128.0,8192.0,read,14487.56,41361.03,28789.88,248.52
NCMPI,16,8.0,16.0,256.0,write,299.11,721.25,510.26,15.53
NCMPI,16,8.0,16.0,256.0,read,1737.37,20832.34,5329.5,691.98
MPIIO,64,256.0,512.0,32768.0,write,94858.37,180079.5,154281.64,95.93
MPIIO,64,256.0,512.0,32768.0,read,42763.09,88482.88,74287.32,56.7
POSIX,16,8.0,8.0,128.0,write,100.36,3165.21,1377.57,124.27
POSIX,16,8.0,8.0,128.0,read,1364.96,5780.36,3711.89,196.93
POSIX,8,128.0,512.0,4096.0,write,9216.47,18792.29,16593.54,23.39
POSIX,8,128.0,512.0,4096.0,read,21581.86,24929.65,23574.87,9.36
NCMPI,2,256.0,512.0,1024.0,write,2857.6,3163.02,2991.84,0.39
NCMPI,2,256.0,512.0,1024.0,read,2629.77,5464.93,4177.94,4.13
Z5,64,16.0,16.0,1024.0,write,3030.23,21403.92,14333.6,464.08
Z5,64,16.0,16.0,1024.0,read,1381.83,4802.63,3063.65,77.92
NCMPI,2,64.0,64.0,128.0,write,828.1,1772.01,1394.58,5.06
NCMPI,2,64.0,64.0,128.0,read,2781.48,4178.24,3389.0,6.53
Z5,8,16.0,128.0,1024.0,write,3122.22,3368.3,3238.2,5.76
Z5,8,16.0,128.0,1024.0,read,607.16,670.71,639.67,1.3
POSIX,64,8.0,32.0,2048.0,write,5986.01,18879.99,14158.15,447.79
POSIX,64,8.0,32.0,2048.0,read,14810.87,21426.83,18364.88,318.2
NCMPI,32,32.0,256.0,8192.0,write,2919.16,9611.02,5545.5,70.53
NCMPI,32,32.0,256.0,8192.0,read,21143.37,56752.78,43801.21,276.57
NCMPI,64,128.0,1024.0,65536.0,write,11474.51,27817.69,16690.84,37.21
NCMPI,64,128.0,1024.0,65536.0,read,52590.87,60898.76,55946.45,19.47
Z5,4,32.0,64.0,256.0,write,1288.63,1816.2,1707.55,5.03
Z5,4,32.0,64.0,256.0,read,214.79,338.09,311.27,1.06
HDF5,16,64.0,256.0,4096.0,write,110.24,10114.32,8531.44,46.4
HDF5,16,64.0,256.0,4096.0,read,7320.08,13919.18,11812.12,26.81
MPIIO,2,8.0,64.0,128.0,write,5604.62,6214.59,5858.89,21.75
MPIIO,2,8.0,64.0,128.0,read,951.64,3046.88,2175.18,65.49
HDF5,2,32.0,64.0,128.0,write,640.13,2009.3,1265.19,13.31
HDF5,2,32.0,64.0,128.0,read,1017.63,2230.54,1778.1,13.53
MPIIO,4,64.0,64.0,256.0,write,9123.26,9676.89,9457.73,2.29
MPIIO,4,64.0,64.0,256.0,read,1201.61,4938.34,3736.94,16.52
MPIIO,2,8.0,32.0,64.0,write,3381.23,4688.96,4346.77,45.92
MPIIO,2,8.0,32.0,64.0,read,1013.47,2336.88,1610.85,56.73
POSIX,64,8.0,64.0,4096.0,write,11384.19,30031.61,21712.95,735.23
POSIX,64,8.0,64.0,4096.0,read,22444.89,37776.86,27324.03,666.07
Z5,8,256.0,1024.0,8192.0,write,4049.21,4483.92,4390.86,0.5
Z5,8,256.0,1024.0,8192.0,read,689.9,716.54,708.87,0.04
