api,nranks,xfersize[MiB],blocksize[MiB],totalsize[MiB],operation,min[MiB/sec],max[MiB/sec],mean[MiB/sec],std[MiB/sec]
MPIIO,64,8.0,64.0,4096.0,read,10315.7,46432.55,31325.61,1627.63
HDF5,4,256.0,512.0,2048.0,write,1959.28,4692.1,4189.1,3.11
HDF5,4,256.0,512.0,2048.0,read,3665.2,4948.66,4501.63,1.35
Z5,8,64.0,512.0,4096.0,write,3524.14,4180.67,3971.39,3.06
Z5,8,64.0,512.0,4096.0,read,614.87,693.89,671.79,0.35
MPIIO,2,256.0,512.0,1024.0,write,7349.65,7525.04,7458.3,0.2
MPIIO,2,256.0,512.0,1024.0,read,2454.37,2986.84,2851.36,0.76
NCMPI,2,16.0,16.0,32.0,write,207.28,1178.3,593.06,18.58
NCMPI,2,16.0,16.0,32.0,read,1350.05,4221.9,2367.51,71.82
Z5,64,64.0,64.0,4096.0,write,9662.48,29570.0,22740.32,131.0
Z5,64,64.0,64.0,4096.0,read,3489.38,5355.26,4378.73,9.34
MPIIO,32,128.0,1024.0,32768.0,write,91797.16,96776.03,94860.26,12.29
MPIIO,32,128.0,1024.0,32768.0,read,34602.57,42826.43,39969.25,22.62
MPIIO,4,16.0,16.0,64.0,write,4790.41,6063.65,5521.8,22.2
MPIIO,4,16.0,16.0,64.0,read,719.12,1594.3,1192.25,19.09
MPIIO,64,32.0,128.0,8192.0,write,27298.82,120347.16,96425.41,817.36
MPIIO,64,32.0,128.0,8192.0,read,19271.38,58531.12,46075.17,391.47
HDF5,16,16.0,64.0,1024.0,write,795.8,5133.92,3985.75,88.31
HDF5,16,16.0,64.0,1024.0,read,5417.77,12307.4,9421.9,179.51
Z5,8,256.0,2048.0,16384.0,write,3294.92,4495.6,4204.28,1.55
Z5,8,256.0,2048.0,16384.0,read,673.77,712.51,703.02,0.05
POSIX,8,8.0,16.0,128.0,write,439.04,2509.33,1756.34,73.72
POSIX,8,8.0,16.0,128.0,read,2612.74,7304.22,4826.21,182.1
Z5,2,32.0,128.0,256.0,write,633.49,1026.71,980.51,3.62
Z5,2,32.0,128.0,256.0,read,163.16,178.13,175.1,0.14
MPIIO,4,8.0,16.0,64.0,write,3870.86,5166.26,4575.76,45.25
MPIIO,4,8.0,16.0,64.0,read,413.25,2139.24,1456.78,72.88
MPIIO,16,256.0,256.0,4096.0,write,43436.64,45070.05,44102.38,2.11
MPIIO,16,256.0,256.0,4096.0,read,9791.96,22678.12,19792.95,18.4
POSIX,8,128.0,1024.0,8192.0,write,13957.51,22095.3,18242.91,23.8
POSIX,8,128.0,1024.0,8192.0,read,24506.13,26161.4,25698.69,3.58
HDF5,4,32.0,128.0,512.0,write,1181.23,3442.4,2771.39,22.74
HDF5,4,32.0,128.0,512.0,read,2007.7,4586.65,3444.14,24.25
Z5,1,32.0,256.0,256.0,write,534.51,570.44,562.07,0.42
Z5,1,32.0,256.0,256.0,read,90.73,90.86,90.83,0.0
MPIIO,1,128.0,128.0,128.0,write,3067.03,3108.64,3094.17,0.1
